date,time,precipitation_mm,label
2025-07-15,2025-07-15T15:00,0.1,July 2025 monsoon spell
2025-07-15,2025-07-15T16:00,0.4,July 2025 monsoon spell
2025-07-15,2025-07-15T17:00,0.7,July 2025 monsoon spell
2025-07-15,2025-07-15T18:00,0.2,July 2025 monsoon spell
2025-07-15,2025-07-15T19:00,0.6,July 2025 monsoon spell
2025-07-15,2025-07-15T20:00,0.4,July 2025 monsoon spell
2025-07-15,2025-07-15T21:00,0.1,July 2025 monsoon spell
2025-07-15,2025-07-15T22:00,0.9,July 2025 monsoon spell
2025-07-15,2025-07-15T23:00,0.9,July 2025 monsoon spell
2017-08-29,2017-08-29T00:00,4.4,29 August 2017 flood
2017-08-29,2017-08-29T01:00,1.0,29 August 2017 flood
2017-08-29,2017-08-29T02:00,0.9,29 August 2017 flood
2017-08-29,2017-08-29T03:00,0.7,29 August 2017 flood
2017-08-29,2017-08-29T04:00,2.0,29 August 2017 flood
2017-08-29,2017-08-29T05:00,0.5,29 August 2017 flood
2017-08-29,2017-08-29T06:00,2.2,29 August 2017 flood
2017-08-29,2017-08-29T07:00,4.4,29 August 2017 flood
2017-08-29,2017-08-29T08:00,4.5,29 August 2017 flood
2017-08-29,2017-08-29T09:00,3.7,29 August 2017 flood
2017-08-29,2017-08-29T10:00,3.6,29 August 2017 flood
2017-08-29,2017-08-29T11:00,3.5,29 August 2017 flood
2017-08-29,2017-08-29T12:00,3.1,29 August 2017 flood
2017-08-29,2017-08-29T13:00,1.3,29 August 2017 flood
2017-08-29,2017-08-29T14:00,1.0,29 August 2017 flood
2017-08-29,2017-08-29T15:00,0.4,29 August 2017 flood
2017-08-29,2017-08-29T16:00,0.7,29 August 2017 flood
2017-08-29,2017-08-29T17:00,0.9,29 August 2017 flood
2017-08-29,2017-08-29T18:00,1.6,29 August 2017 flood
2017-08-29,2017-08-29T19:00,1.6,29 August 2017 flood
2017-08-29,2017-08-29T20:00,1.9,29 August 2017 flood
2017-08-29,2017-08-29T21:00,6.4,29 August 2017 flood
2017-08-29,2017-08-29T22:00,9.1,29 August 2017 flood
2017-08-29,2017-08-29T23:00,7.2,29 August 2017 flood
2024-08-14,2024-08-14T00:00,0.1,control - ordinary monsoon day
2024-08-14,2024-08-14T01:00,0.1,control - ordinary monsoon day
2024-08-14,2024-08-14T02:00,0.1,control - ordinary monsoon day
2024-08-14,2024-08-14T03:00,0.1,control - ordinary monsoon day
2024-08-14,2024-08-14T04:00,0.2,control - ordinary monsoon day
2024-08-14,2024-08-14T05:00,0.3,control - ordinary monsoon day
2024-08-14,2024-08-14T06:00,0.1,control - ordinary monsoon day
2024-08-14,2024-08-14T07:00,0.1,control - ordinary monsoon day
2024-08-14,2024-08-14T08:00,0.1,control - ordinary monsoon day
2024-08-14,2024-08-14T09:00,0.0,control - ordinary monsoon day
2024-08-14,2024-08-14T10:00,0.0,control - ordinary monsoon day
2024-08-14,2024-08-14T11:00,0.1,control - ordinary monsoon day
2024-08-14,2024-08-14T12:00,0.5,control - ordinary monsoon day
2024-08-14,2024-08-14T13:00,0.1,control - ordinary monsoon day
2024-08-14,2024-08-14T14:00,0.0,control - ordinary monsoon day
2024-08-14,2024-08-14T15:00,0.0,control - ordinary monsoon day
2024-08-14,2024-08-14T16:00,0.0,control - ordinary monsoon day
2024-08-14,2024-08-14T17:00,0.0,control - ordinary monsoon day
2024-08-14,2024-08-14T18:00,0.0,control - ordinary monsoon day
2024-08-14,2024-08-14T19:00,0.0,control - ordinary monsoon day
2024-08-14,2024-08-14T20:00,0.0,control - ordinary monsoon day
2024-08-14,2024-08-14T21:00,0.0,control - ordinary monsoon day
2024-08-14,2024-08-14T22:00,0.0,control - ordinary monsoon day
2024-08-14,2024-08-14T23:00,0.0,control - ordinary monsoon day
2025-09-05,2025-09-05T00:00,0.7,control - ordinary monsoon day
2025-09-05,2025-09-05T01:00,0.8,control - ordinary monsoon day
2025-09-05,2025-09-05T02:00,0.5,control - ordinary monsoon day
2025-09-05,2025-09-05T03:00,1.7,control - ordinary monsoon day
2025-09-05,2025-09-05T04:00,2.0,control - ordinary monsoon day
2025-09-05,2025-09-05T05:00,2.1,control - ordinary monsoon day
2025-09-05,2025-09-05T06:00,0.9,control - ordinary monsoon day
2025-09-05,2025-09-05T07:00,0.3,control - ordinary monsoon day
2025-09-05,2025-09-05T08:00,0.6,control - ordinary monsoon day
2025-09-05,2025-09-05T09:00,0.4,control - ordinary monsoon day
2025-09-05,2025-09-05T10:00,0.8,control - ordinary monsoon day
2025-09-05,2025-09-05T11:00,3.5,control - ordinary monsoon day
2025-09-05,2025-09-05T12:00,1.4,control - ordinary monsoon day
2025-09-05,2025-09-05T13:00,0.2,control - ordinary monsoon day
2025-09-05,2025-09-05T14:00,0.0,control - ordinary monsoon day
2025-09-05,2025-09-05T15:00,0.0,control - ordinary monsoon day
2025-09-05,2025-09-05T16:00,0.0,control - ordinary monsoon day
2025-09-05,2025-09-05T17:00,0.0,control - ordinary monsoon day
2025-09-05,2025-09-05T18:00,0.7,control - ordinary monsoon day
2025-09-05,2025-09-05T19:00,0.1,control - ordinary monsoon day
2025-09-05,2025-09-05T20:00,0.2,control - ordinary monsoon day
2025-09-05,2025-09-05T21:00,0.4,control - ordinary monsoon day
